first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Valerie,Foushee,F000477,rep,Democrat,NC,2025-01-03,2027-01-03,@RepValerieFoushee,UCWm1TIf2sX0QHrxlERoh6pw,ValerieFoushee,1.61e+18,repvaleriefoushee,,RepValerieFoushee,https://www.youtube.com/channel/UCWm1TIf2sX0QHrxlERoh6pw
Russell,Fry,F000478,rep,Republican,SC,2025-01-03,2027-01-03,@reprussellfry,UCGqhocHaJykHufIXBg0sl7g,RepRussellFry,1.6e+18,reprussellfry,,reprussellfry,https://www.youtube.com/channel/UCGqhocHaJykHufIXBg0sl7g
Marie,Gluesenkamp Perez,G000600,rep,Democrat,WA,2025-01-03,2027-01-03,@repmgp,UCo4paf7SbVdHOi67ayp1DDg,RepMGP,1.6e+18,repmgp,,RepMGP,https://www.youtube.com/channel/UCo4paf7SbVdHOi67ayp1DDg
Kevin,Kiley,K000401,rep,Republican,CA,2025-01-03,2027-01-03,@repkevinkiley,UCRYWouIUelEtHYjASOHW4jA,RepKiley,1.61e+18,,,100089382125341,https://www.youtube.com/channel/UCRYWouIUelEtHYjASOHW4jA
Anna,Luna,L000596,rep,Republican,FL,2025-01-03,2027-01-03,@RepLuna,UCU47SDE9H1U5CEqOkviBS5A,RepLuna,1.61e+18,repluna,,,https://www.youtube.com/channel/UCU47SDE9H1U5CEqOkviBS5A
Michael,Lawler,L000599,rep,Republican,NY,2025-01-03,2027-01-03,@RepMikeLawler,UCcN-bNymt81c6GL1eElRyVg,RepMikeLawler,1.59e+18,RepMikeLawler,,RepMikeLawler,https://www.youtube.com/channel/UCcN-bNymt81c6GL1eElRyVg
Jared,Moskowitz,M001217,rep,Democrat,FL,2025-01-03,2027-01-03,@RepMoskowitz,UCXXNWp6uCWiBxlJxkU_zJeQ,RepMoskowitz,1.61e+18,repmoskowitz,,RepMoskowitz,https://www.youtube.com/channel/UCXXNWp6uCWiBxlJxkU_zJeQ
Kevin,Mullin,M001225,rep,Democrat,CA,2025-01-03,2027-01-03,,UCAenuXjUZagZyD4HQL7_2ZA,RepKevinMullin,1.61e+18,repkevinmullin,,CongressmanKevinMullin,https://www.youtube.com/channel/UCAenuXjUZagZyD4HQL7_2ZA
Zachary (Zach),Nunn,N000193,rep,Republican,IA,2025-01-03,2027-01-03,,UCHcM0qd2GQ2CbOHSGZ06rrA,ZachNunn,1.61e+18,repzachnunn,,RepZachNunn,https://www.youtube.com/channel/UCHcM0qd2GQ2CbOHSGZ06rrA
Emilia,Sykes,S001223,rep,Democrat,OH,2025-01-03,2027-01-03,@repemiliasykes,UChlENkILRFCKhRn8Xx2kY1Q,RepEmiliaSykes,1.61e+18,RepEmiliaSykes,,repemiliasykes,https://www.youtube.com/channel/UChlENkILRFCKhRn8Xx2kY1Q
Jill,Tokuda,T000487,rep,Democrat,HI,2025-01-03,2027-01-03,,UCBXwZrEZWQiSXebInVuYuvw,RepJillTokuda,1.61e+18,repjilltokuda,,RepJillTokuda,https://www.youtube.com/channel/UCBXwZrEZWQiSXebInVuYuvw
Brad,Finstad,F000475,rep,Republican,MN,2025-01-03,2027-01-03,@repfinstad,UC8eb5FpfNeQ1T4GvFNtlpqQ,RepFinstad,,repfinstad,,RepFinstad,https://www.youtube.com/channel/UC8eb5FpfNeQ1T4GvFNtlpqQ
John,James,J000307,rep,Republican,MI,2025-01-03,2027-01-03,@RepJohnJames,UCjsRaXe7cnwNoy15ARClqGw,RepJames,,RepJohnJames,,RepJohnJames,https://www.youtube.com/channel/UCjsRaXe7cnwNoy15ARClqGw
