first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook
Keith,Self,S001224,rep,Republican,TX,2025-01-03,2027-01-03,,,repkeithself,,repkeithself,,repkeithself
Mónica,De La Cruz,D000594,rep,Republican,TX,2025-01-03,2027-01-03,@RepMonicaDLC,,RepMonicaDLC,,RepMonicaDLC,,RepMonicaDLC
Jennifer,Kiggans,K000399,rep,Republican,VA,2025-01-03,2027-01-03,@repjenkiggans,,RepJenKiggans,,repjenkiggans,,repjenkiggans
Harriet,Hageman,H001096,rep,Republican,WY,2025-01-03,2027-01-03,@rephageman,,RepHageman,,,,
Pete,Ricketts,R000618,sen,Republican,NE,2024-11-05,2027-01-03,@SenatorRicketts,,SenatorRicketts,,SenatorRicketts,,SenatorRicketts
Jennifer,McClellan,M001227,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepMcClellan,,repmcclellan,,
Gabe,Amo,A000380,rep,Democrat,RI,2025-01-03,2027-01-03,,,RepGabeAmo,,repgabeamo,,61553581414066
Celeste,Maloy,M001228,rep,Republican,UT,2025-01-03,2027-01-03,@RepCelesteMaloy,,RepMaloyUtah,,RepCelesteMaloy,,61555755717517
Thomas,Suozzi,S001201,rep,Democrat,NY,2025-01-03,2027-01-03,,,reptomsuozzi,,,,RepTomSuozzi
Timothy,Kennedy,K000402,rep,Democrat,NY,2025-01-03,2027-01-03,@reptimkennedy,,reptimkennedy,,reptimkennedy,,reptimkennedy
Vince,Fong,F000480,rep,Republican,CA,2025-01-03,2027-01-03,,,RepVinceFong,,repvincefong,,
LaMonica,McIver,M001229,rep,Democrat,NJ,2025-01-03,2027-01-03,,,RepLaMonica,,replamonica,,RepLaMonica
Tony,Wied,W000829,rep,Republican,WI,2025-01-03,2027-01-03,,,RepTonyWied,,reptonywied,,61568624194199
Cleo,Fields,F000110,rep,Democrat,LA,2025-01-03,2027-01-03,,,repfields,,repcleofields_,,Congressman-Cleo-Fields
Marlin,Stutzman,S001188,rep,Republican,IN,2025-01-03,2027-01-03,,,RepStutzman,,repstutzman,,repstutzman
Bernie,Moreno,M001242,sen,Republican,OH,2025-01-03,2031-01-03,,,berniemoreno,,Berniemorenoforohio,,
Nicholas,Begich,B001323,rep,Republican,AK,2025-01-03,2027-01-03,,,repnickbegich,,RepNickBegich,,RepNickBegich
Shomari,Figures,F000481,rep,Democrat,AL,2025-01-03,2027-01-03,,,repscfigures,,repscfigures,,congressman.shomari.figures
Yassamin,Ansari,A000381,rep,Democrat,AZ,2025-01-03,2027-01-03,,,RepYassAnsari,,RepYassAnsari,,RepYassAnsari
Lateefah,Simon,S001231,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepLSimon,,RepLSimon,,RepLSimon
Adam,Gray,G000605,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepAdamGrayCA,,repadamgrayca,,repadamgrayca
Sam,Liccardo,L000607,rep,Democrat,CA,2025-01-03,2027-01-03,,,repliccardo,,repliccardo,,
George,Whitesides,W000830,rep,Democrat,CA,2025-01-03,2027-01-03,,,Rep_Whitesides,,repwhitesides,,repwhitesides
Luz,Rivas,R000620,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepLuzRivas,,RepLuzRivas,,congresswomanluzrivas
Laura,Friedman,F000483,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepFriedmanCA,,RepLauraFriedman,,RepLauraFriedman
Jeff,Hurd,H001100,rep,Republican,CO,2025-01-03,2027-01-03,@RepJeffHurd03,,RepJeffHurd,,repjeffhurd,,61571570223582
Jeff,Crank,C001137,rep,Republican,CO,2025-01-03,2027-01-03,,,RepJeffCrank,,repjeffcrank,,RepJeffCrank
Gabe,Evans,E000300,rep,Republican,CO,2025-01-03,2027-01-03,,,repgabeevans,,RepGabeEvans,,RepGabeEvans
Mike,Haridopolos,H001099,rep,Republican,FL,2025-01-03,2027-01-03,,,repharidopolos,,,,
Brian,Jack,J000311,rep,Republican,GA,2025-01-03,2027-01-03,,,RepBrianJack,,repbrianjack,,RepBrianJack
Jefferson,Shreve,S001229,rep,Republican,IN,2025-01-03,2027-01-03,,,repshreve,,repshreve,,RepJeffersonShreve
Derek,Schmidt,S001228,rep,Republican,KS,2025-01-03,2027-01-03,,,repderekschmidt,,repderekschmidt,,repderekschmidt
Johnny,Olszewski,O000176,rep,Democrat,MD,2025-01-03,2027-01-03,,,RepJohnnyO,,repjohnnyo,,
Sarah,Elfreth,E000301,rep,Democrat,MD,2025-01-03,2027-01-03,,,repsarahelfreth,,RepSarahElfreth,,RepSarahElfreth
April,McClain Delaney,M001232,rep,Democrat,MD,2025-01-03,2027-01-03,,,RepAprilDelaney,,repaprildelaney,,RepAprilDelaney
Tom,Barrett,B001321,rep,Republican,MI,2025-01-03,2027-01-03,,,reptombarrett,,,,RepTomBarrett
Kristen,McDonald Rivet,M001237,rep,Democrat,MI,2025-01-03,2027-01-03,,,repkmr,,repmcdonaldrivet,,repmcdonaldrivet
Kelly,Morrison,M001234,rep,Democrat,MN,2025-01-03,2027-01-03,,,kellymorrisonmn,,kellymorrisonmn,,repkellymorrison
Wesley,Bell,B001324,rep,Democrat,MO,2025-01-03,2027-01-03,,,RepWesleyBellMO,,,,61571538239904
Robert,Onder,O000177,rep,Republican,MO,2025-01-03,2027-01-03,,,RepBobOnder,,repbobonder,,RepBobOnder
Kimberlyn,King-Hinds,K000404,rep,Republican,MP,2025-01-03,2027-01-03,,,RepKimKingHinds,,RepKimKingHinds,,61571529818077
Troy,Downing,D000634,rep,Republican,MT,2025-01-03,2027-01-03,,,reptroydowning,,reptroydowning,,reptroydowning
Addison,McDowell,M001240,rep,Republican,NC,2025-01-03,2027-01-03,,,RepMcDowell,,repmcdowell,,RepMcDowell
Mark,Harris,H001102,rep,Republican,NC,2025-01-03,2027-01-03,,,RepMarkHarrisNC,,repmarkharris,,RepMarkHarris
Pat,Harrigan,H001101,rep,Republican,NC,2025-01-03,2027-01-03,,,RepPatHarrigan,,RepPatHarrigan,,RepPatHarrigan
Brad,Knott,K000405,rep,Republican,NC,2025-01-03,2027-01-03,,,RepKnott,,repknott,,61571474013264
Tim,Moore,M001236,rep,Republican,NC,2025-01-03,2027-01-03,,,RepTimMooreNC,,reptimmoore,,CongressmanTimMoore
Julie,Fedorchak,F000482,rep,Republican,ND,2025-01-03,2027-01-03,,,RepFedorchak,,RepJulieFedorchak,,RepJulieFedorchak
Maggie,Goodlander,G000604,rep,Democrat,NH,2025-01-03,2027-01-03,,,RepGoodlander,,repgoodlander,,61571606604866
Herbert,Conaway,C001136,rep,Democrat,NJ,2025-01-03,2027-01-03,,,RepHerbConaway,,,,
Nellie,Pou,P000621,rep,Democrat,NJ,2025-01-03,2027-01-03,,,caohouse,,housecreativeservices,,CAOHouseofReps
Laura,Gillen,G000602,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepLauraGillen,,replauragillen,,replauragillen
George,Latimer,L000606,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepGLatimer,,repglatimer,,61571201977917
John,Mannion,M001231,rep,Democrat,NY,2025-01-03,2027-01-03,,,JohnMannionNY22,,congressmannion,,CongressmanJohnMannion
David,Taylor,T000490,rep,Republican,OH,2025-01-03,2027-01-03,,,RepDaveTaylor,,repdavetaylor,,61571224837800
Maxine,Dexter,D000635,rep,Democrat,OR,2025-01-03,2027-01-03,,,RepDexterOR,,repdexteror,,RepDexterOR
Janelle,Bynum,B001326,rep,Democrat,OR,2025-01-03,2027-01-03,,,RepBynum,,repbynum,,repbynum
Ryan,Mackenzie,M001230,rep,Republican,PA,2025-01-03,2027-01-03,,,RepMackenzie,,RepMackenzie,,repmackenzie
Robert,Bresnahan,B001327,rep,Republican,PA,2025-01-03,2027-01-03,,,RepBresnahan,,RepBresnahan,,RepBresnahan
Pablo José,Hernández Rivera,H001103,rep,Democrat,PR,2025-01-03,2027-01-03,,,reppablojose,,reppablojose,,61569891687422
Sheri,Biggs,B001325,rep,Republican,SC,2025-01-03,2027-01-03,,,repsheribiggs,,RepSheriBiggs,,RepSheriBiggs
Craig,Goldman,G000601,rep,Republican,TX,2025-01-03,2027-01-03,,,RepCraigGoldman,,repcraiggoldman,,61571449239416
Brandon,Gill,G000603,rep,Republican,TX,2025-01-03,2027-01-03,,,repbrandongill,,repbrandongill,,RepBrandonGill
Julie,Johnson,J000310,rep,Democrat,TX,2025-01-03,2027-01-03,,,RepJulieJohnson,,repjuliejohnson,,61569064997067
Mike,Kennedy,K000403,rep,Republican,UT,2025-01-03,2027-01-03,,,repmikekennedy,,repmikekennedy,,RepMikeKennedy
John,McGuire,M001239,rep,Republican,VA,2025-01-03,2027-01-03,,,RepJohnMcGuire,,repjohnmcguire,,RepJohnMcGuire
Eugene,Vindman,V000138,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepVindman,,repvindman,,CongressmanEugeneVindman
Suhas,Subramanyam,S001230,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepSuhas,,repsuhas,,RepSuhasSubramanyam
Michael,Baumgartner,B001322,rep,Republican,WA,2025-01-03,2027-01-03,,,repbaumgartner,,repbaumgartner,,RepBaumgartner
Riley,Moore,M001235,rep,Republican,WV,2025-01-03,2027-01-03,,,RepRileyMoore,,reprileymoore,,
Adam,Schiff,S001150,sen,Democrat,CA,2025-01-03,2031-01-03,adamschiff,,,,SenAdamSchiff,,SenAdamSchiff
Andy,Kim,K000394,sen,Democrat,NJ,2025-01-03,2031-01-03,,,,,SenatorAndyKim,,SenatorAndyKim
Sheila,Cherfilus-McCormick,C001127,rep,Democrat,FL,2025-01-03,2027-01-03,,,,,,,congresswomanSCM
John,Fetterman,F000479,sen,Democrat,PA,2023-01-03,2029-01-03,,,,,senfettermanpa,,SenFettermanPA
Jonathan,Jackson,J000309,rep,Democrat,IL,2025-01-03,2027-01-03,,,,,repjackson,,repjackson
Gilbert,Cisneros,C001123,rep,Democrat,CA,2025-01-03,2027-01-03,,,,,repgilcisneros,,RepGilCisneros
Angela,Alsobrooks,A000382,sen,Democrat,MD,2025-01-03,2031-01-03,,,,,sen_alsobrooks,,SenatorAlsobrooks
Dave,McCormick,M001243,sen,Republican,PA,2025-01-03,2031-01-03,@SenMcCormickPA,,,,senmccormickpa,,SenMcCormickPA
Sarah,McBride,M001238,rep,Democrat,DE,2025-01-03,2027-01-03,,,,,congresswomansarahmcbride,,CongresswomanSarahMcBride
Mark,Messmer,M001233,rep,Republican,IN,2025-01-03,2027-01-03,,,,,HouseRepublicans,,CongressmanMessmer
Josh,Riley,R000622,rep,Democrat,NY,2025-01-03,2027-01-03,,,,,RepRileyNY,,RepRileyNY
Jim,Justice,J000312,sen,Republican,WV,2025-01-14,2031-01-03,,,,,senjimjustice,,100044187231175
Lance,Gooden,G000589,rep,Republican,TX,2025-01-03,2027-01-03,UCaEs0pYlL_1cLlPBHfl0RIg,,,,,,
